1
Агафонова Татьяна
Барабашкин Сергей
Вилейкин Егор
Иржикова Екатерина
Красилов Константин
Медведева Анастасия
Нестеров Федор
Олейкина Мария
Петрохин Иннокентий
Старостин Никоай
2
Иванов Петр
Левченко Кирилл
Михайлова Янина
Парамонова Софья
Платова Наталия
Полено Илья
Прокофьев Игнат
Разводкин Антон
Рекрутова Ксения
Самойлов Михаил
3
Быстрицкая Елена
Волохов Петр
Зарубкин Илья
Ланская Анастасия
Макарова Елизавета
Неведов Никита
Пружинин Алексей
Родионов Константин
Соколова Ксения
Шаров Николай
4
Афанасьев Михаил
Белова Наталья
Богданова Вероника
Власов Николай
Голубева Мария
Евсеев Кирилл
Карпова Людмила
Кириллова Ангелина
Павлов Борис
Тарасов Петр
5
Антонов Сергей
Вишня Егор
Ершов Александр
Кузнецова Мария
Маслова Екатерина
Овчинников Богдан
Орлова Василиса
Селезнев Тарас
Тимофеев Владимир
Чернова Виктория
6
Андреев Леонид
Беляев Антон
Воробьева Нина
Власов Георгий
Комарова Евгения
Пахомов Степан
Самоснова Валентина
Рыжова Елизавета
Филатов Константин
Федоров Владислав
